label,NewLabel,Phylogroup
AlamedaCk,Alameda Creek,Coastal
AmerR_NimbusH,American River-Nimbus Hatchery,Central Valley
AmerRH_Shasta,American River Hatchery-Shasta Strain,Hatchery strain
BattleCk_ColemanH,Coleman Hatchery,Central Valley
BigCk,Big Creek,Coastal
BigCk_Devils,Big Creek - Devils,Coastal
BuckCk_redband,Buck Creek,Interior Redband
ChagoopaCk,Chagoopa Creek,Golden Trout Complex
ColdCynCk,Cold Canyon Creek,Coastal
DryCK_WSH,Dry Creek Wash,Coastal
EagleLk,Eagle Lake,Central Valley
EelR_VAFS,Eel River,Coastal
FeatherR_NArmRiceCk,Feather River - Rice Creek,Central Valley
FeatherRH,Feather River Hatchery,Central Valley
Foster_Winter,Foster Winter,Willamette Valley
FreshwaterCk,Freshwater Creek,Coastal
GoldTroutCk_golden,Golden Trout Creek,Golden Trout Complex
HiltonCk,Hilton Creek,Coastal
HorseLintoCk,Horse Linto Creek,Coastal
KernR,Kern River,Golden Trout Complex
KernR9LakeN,Kern River - Nine Lake,Golden Trout Complex
LNF_TenMileR,Ten Mile River,Coastal
MadR,Mad River,Coastal
McKenzie_Summer,McKenzie Summer,Willamette Valley
MFAmerR,Middle Fork American River,Central Valley
MFEelR_Summer,Middle Fork Eel River Summer,Coastal
MokelumneRH,Mokelumne Rivery Hatchery,Central Valley
MooseheadCk_redband,Moosehead Creek,O. m. calisulat
NFClicksCk_LKRgolden,North Fork Clicks Creek,Golden Trout Complex
NFDeepCk_redband,North Fork Deep Creek,Interior Redband
NFShieldsCk_redband,North Fork Shields Creek,Interior Redband
NFSmithRcut,Coastal Cutthroat,Coastal Cutthroat
PiruCk,Piru Creek,Coastal
SFDeepCk_redband,South Fork Deep Creek,Interior Redband
SFShieldsCk_redband,South Fork Shields Creek,Interior Redband
ShastaR,Shasta River,Central Valley
SheephavenCk_redband,Sheepheaven Creek,O. m. calisulat
SoSantiam_Summer,South Santiam Summer,Willamette Valley
UpMulkeyCk_golden,Upper Mulkey Creek,Golden Trout Complex
WF_SanLuisRey,West Fork San Luis Rey,Coastal
Willamette_Winter,Williamette Winter,Willamette Valley
Spring Creek,Spring Creek,Missouri Trout
Shepherd Fall Spawning,Shepherd Fall Spawning,Missouri Trout
EED Erwin/Arlee Domestic,EED Erwin/Arlee Domestic,Missouri Trout
Arlee Spring Spawning,Arlee Spring Spawning,Missouri Trout
North ForkOf the White,North ForkOf the White,Missouri Trout
Montauk Fish Lake,Montauk Fish Lake,Missouri Trout
Piney Creek -- Lane Spring,Piney Creek -- Lane Spring,Missouri Trout
Crane Creek,Crane Creek,Missouri Trout
Mill Creek,Mill Creek,Missouri Trout
Blue Springs,Blue Springs,Missouri Trout
Eleven Point,Eleven Point,Missouri Trout
Spring River,Spring River,Missouri Trout
Current,Current,Missouri Trout
RT_Kamloops,Kamloops Hatchery Strain,Hatchery strain
FRH_Steelhead,Feather River Hatchery Steelhead,Hatchery strain
RT_Pit,Pit Hatchery Strain,Hatchery strain
RT_Shasta,Shasta Hatchery Strain,Hatchery strain
RT_Coleman,Coleman Hatchery Strain,Hatchery strain
RT_Hot_Creek,Hot Creek Hatchery Strain,Central Valley
Pit River Stn 2,Pit River,Central Valley
Upper_Pine_Creek,Upper Pine Creek,Interior Redband
Cold_Lassen_Creek,Cold Lassen Creek,Interior Redband
EDSON CREEK,Edson Creek,O. m. calisulat
HotCkH_Kamloop,Hot Creek Hatchery Kamloops,Hatchery strain
UpWetMeadowCk_LKRgolden,Wet Meadow Creek,Golden Trout Complex
